0024bfc4_3900_496c_ad29_ea3516dab89c-agegroup-baby:120.0,children teens:68.0,youth adolescent:23.0,adult millennials:83.0,middle age:102.0,old:31.0,
0026f8d4_ea37_45b8_96bd_2ffbe5a40cfd-agegroup-baby:53.0,children teens:90.0,youth adolescent:27.0,adult millennials:121.0,middle age:141.0,old:72.0,
002a9f63_b84d_4aab_b0f6_a5fe71cabeb8-agegroup-baby:120.0,children teens:61.0,youth adolescent:-38.0,adult millennials:30.0,middle age:79.0,old:81.0,
002c7ce8_43bf_4a17_85ed_a30fa362659a-agegroup-baby:1000.0,children teens:1000.0,youth adolescent:1000.0,adult millennials:1000.0,middle age:1000.0,old:1000.0,
002e2b66_7343_43e4_a2e5_1b2aeb08de87-agegroup-baby:89.0,children teens:80.0,youth adolescent:16.0,adult millennials:139.0,middle age:88.0,old:-0.0,
0030b4a7_743c_4ede_b128_7bdc0fe44c51-agegroup-baby:-17.0,children teens:108.0,youth adolescent:59.0,adult millennials:142.0,middle age:106.0,old:2.0,
00310f94_8307_453f_81d4_5bd2c7f0dc66-agegroup-baby:226.0,children teens:173.0,youth adolescent:97.0,adult millennials:193.0,middle age:89.0,old:205.0,
00311f67_c430_46df_b88e_ae27a695c0d2-agegroup-baby:82.0,children teens:60.0,youth adolescent:33.0,adult millennials:134.0,middle age:121.0,old:-19.0,
0165d402_70a5_4197_859c_f59bed01a9a5-agegroup-baby:218.0,children teens:361.0,youth adolescent:400.0,adult millennials:431.0,middle age:365.0,old:239.0,
016c91b9_ecb3_477e_8429_2699ef713cda-agegroup-baby:1000.0,children teens:1000.0,youth adolescent:1000.0,adult millennials:1000.0,middle age:1000.0,old:1000.0,
016d25ac_145a_4fdd_a14a_ab3fa6afdb1c-agegroup-baby:259.0,children teens:272.0,youth adolescent:325.0,adult millennials:329.0,middle age:335.0,old:240.0,
016d25ac_145a_4fdd_a14a_ab3fa6afdb1c-agegroup-baby:259.0,children teens:272.0,youth adolescent:325.0,adult millennials:329.0,middle age:335.0,old:240.0,
016edb30_fa33_42d7_82ba_024d2bda9401-agegroup-baby:1000.0,children teens:1000.0,youth adolescent:1000.0,adult millennials:1000.0,middle age:1000.0,old:1000.0,
