andaman and nicobar islands,11.66702557,92.73598262,
andhra pradesh,14.7504291,78.57002559
arunachal pradesh,27.10039878,93.61660071
assam,26.7499809,94.21666744
bihar,25.78541445,87.4799727
chandigarh,30.71999697,76.78000565
chhattisgarh,22.09042035,82.15998734
dadra and nagar haveli,20.26657819,73.0166178
delhi,28.6699929,77.23000403
goa,15.491997,73.81800065
haryana,28.45000633,77.01999101
himachal pradesh,31.10002545,77.16659704
jammu and kashmir,34.29995933,74.46665849
jharkhand,23.80039349,86.41998572
karnataka,12.57038129,76.91999711
kerala,8.900372741,76.56999263
lakshadweep,10.56257331,72.63686717
madhya pradesh,21.30039105,76.13001949
maharashtra,19.25023195,73.16017493
manipur,24.79997072,93.95001705
meghalaya,25.57049217,91.8800142
mizoram,23.71039899,92.72001461
nagaland,25.6669979,94.11657019
orissa,19.82042971,85.90001746
puducherry,11.93499371,79.83000037
punjab,31.51997398,75.98000281
rajasthan,26.44999921,74.63998124
sikkim,27.3333303,88.6166475
tamil nadu,12.92038576,79.15004187
tripura,23.83540428,91.27999914
uttar pradesh,27.59998069,78.05000565
uttaranchal,30.32040895,78.05000565
west bengal,22.58039044,88.32994665
